,Artist,Total Views,Total de Inscritos,Avg
559,Getsunova,"1,633.9",500.0,0.181
560,Mary J. Blige,"1,630.1",400.0,0.658
561,Joyner Lucas,"1,620.7",100.0,0.36
562,2CELLOS,"1,619.4",100.0,0.333
563,Destiny's Child,"1,617.9",700.0,0.433
564,Last Child,"1,615.9",400.0,0.714
565,Lauv,"1,610.5",400.0,0.368
566,Robbie Williams,"1,605.3",400.0,0.277
567,Jonas Brothers,"1,597.6",300.0,0.199
568,Lauana Prado,"1,595.8",300.0,0.613
569,Toni Braxton,"1,595.0",300.0,0.577
570,Sofia Reyes,"1,590.3",300.0,0.514
571,Wham!,"1,580.5",200.0,0.311
572,Jeremih,"1,580.0",600.0,0.294
573,J Alvarez,"1,579.4",200.0,0.393
574,Ella Mai,"1,579.3",400.0,0.441
575,Burna Boy,"1,578.5",300.0,1.589
576,Marilyn Manson,"1,576.3",300.0,0.356
577,Audioslave,"1,576.1",300.0,0.488
578,Afrojack,"1,572.9",300.0,0.102
579,Lê Bảo Bình,"1,572.0",400.0,0.383
580,Manuel Medrano,"1,566.9",300.0,0.397
581,The Notorious B.I.G.,"1,560.1",400.0,0.793
582,Israel Kamakawiwo'ole,"1,558.2",200.0,0.301
583,T-Pain,"1,552.8",500.0,0.431
584,The Police,"1,549.7",300.0,0.571
585,JD Pantoja,"1,548.7",400.0,0.316
586,MC WM,"1,542.2",500.0,0.092
587,Fun.,"1,542.2",300.0,0.284
588,Demet Akalın,"1,541.5",200.0,0.173
589,Wolfine,"1,534.0",200.0,0.271
590,Israel & Rodolffo,"1,527.8",100.0,1.652
591,Andy Rivera,"1,527.0",300.0,0.583
592,MHD,"1,525.0",500.0,0.245
593,Mỹ Tâm,"1,521.7",200.0,0.274
594,Die Antwoord,"1,519.3",500.0,0.206
595,Reynmen,"1,516.0",300.0,0.25
596,Elvis Presley,"1,513.6",100.0,0.782
597,Kehlani,"1,512.9",200.0,0.325
598,Santana,"1,490.9",300.0,0.57
599,Ty Dolla $ign,"1,487.9",100.0,0.231
600,No Doubt,"1,486.7",200.0,0.394
601,Renuka Panwar,"1,483.5",100.0,0.313
602,4 Non Blondes,"1,479.9",100.0,0.563
603,Alexandra Stan,"1,476.0",500.0,0.236
604,Kany García,"1,474.9",400.0,0.918
605,Kid Rock,"1,467.8",200.0,0.455
606,Carrie Underwood,"1,460.8",100.0,0.234
607,Toto,"1,456.7",300.0,0.649
608,Mannat Noor,"1,452.8",100.0,0.221
609,Rombai,"1,443.9",400.0,0.197
610,Tom Odell,"1,443.3",200.0,1.086
611,Fernandinho,"1,437.4",200.0,0.821
612,4Minute,"1,428.6",400.0,0.126
613,Abel Pintos,"1,428.1",100.0,0.354
614,SISTAR,"1,425.7",400.0,0.162
615,Buray,"1,423.8",700.0,0.354
616,Thiaguinho,"1,423.4",200.0,0.618
617,R3HAB,"1,422.5",200.0,0.222
618,Grupo Revelação,"1,420.6",200.0,0.538
619,Mano Walter,"1,420.1",300.0,0.142
620,Europe,"1,417.6",200.0,0.371
621,Yo Gotti,"1,414.7",400.0,0.237
622,Bé Bảo An,"1,411.3",400.0,0.384
623,Tainy,"1,410.0",300.0,0.4
624,Alessia Cara,"1,409.4",400.0,0.207
625,Troye Sivan,"1,409.0",200.0,0.201
626,Jenni Rivera,"1,408.3",200.0,0.023
627,Willy William,"1,406.9",200.0,0.315
628,Kids United,"1,406.8",300.0,0.314
629,Carla's Dreams,"1,400.8",Não Informado,0.361
630,Dwayne Johnson,"1,400.6",100.0,1.17
631,L.กฮ.,"1,397.4",500.0,0.45
632,C. Tangana,"1,396.9",300.0,0.364
633,Sunidhi Chauhan,"1,394.4",300.0,0.216
634,Ñengo Flow,"1,388.8",400.0,0.825
635,Radwimps,"1,386.7",300.0,0.483
636,Damas Gratis,"1,384.5",400.0,0.756
637,G.E.M.,"1,381.6",400.0,0.234
638,Milky Chance,"1,380.1",300.0,0.412
639,The Kid LAROI,"1,379.9",200.0,0.775
640,Banda Carnaval,"1,379.8",100.0,0.248
641,Hande Yener,"1,378.6",300.0,0.184
642,Aqua,"1,377.2",100.0,0.536
643,Kong Huayrai,"1,375.9",400.0,0.432
644,Sherine,"1,375.5",500.0,0.58
645,Hadise,"1,374.1",500.0,0.232
646,Owl City,"1,373.3",200.0,0.223
647,MC G15,"1,372.3",500.0,0.08
648,Kings Of Leon,"1,367.3",200.0,0.302
649,J-Ax,"1,365.4",200.0,0.118
650,Pang Nakarin,"1,365.0",400.0,0.168
651,Akcent (Romania),"1,362.6",100.0,0.22
652,Rudimental,"1,361.9",300.0,0.18
653,OutKast,"1,361.4",300.0,0.383
654,Gigi D'Agostino,"1,360.5",300.0,0.381
655,Melim,"1,359.1",200.0,0.399
656,Preto no Branco,"1,355.4",200.0,0.329
657,Marwa Loud,"1,353.6",500.0,0.47
658,Ryan Castro,"1,352.7",500.0,1.403
659,Fernando & Sorocaba,"1,342.2",100.0,0.137
660,Flume,"1,338.9",300.0,0.229
661,Bonnie Tyler,"1,336.0",300.0,0.469
662,Natiruts,"1,331.5",300.0,0.551
663,Auli'i Cravalho,"1,329.3",200.0,0.619
664,MC Lan,"1,328.9",200.0,0.05
665,Alejandra Guzmán,"1,328.4",300.0,0.229
666,Ylvis,"1,325.5",100.0,0.145
667,Armaan Malik,"1,322.7",300.0,0.354
668,YFN Lucci,"1,320.2",200.0,0.312
669,Sexion D'Assaut,"1,317.4",200.0,0.158
670,Rvssian,"1,315.2",300.0,0.291
671,Pedro Sampaio,"1,310.9",400.0,0.575
672,Sila,"1,304.6",200.0,0.249
673,Taio Cruz,"1,300.9",500.0,0.159
674,The Lumineers,"1,299.5",400.0,0.304
675,Vitor Fernandes,"1,299.4",300.0,0.528
676,Gülşen,"1,296.5",400.0,0.255
677,Baby Rasta y Gringo,"1,295.6",100.0,0.287
678,Mahahing,"1,294.7",400.0,0.132
679,Gwen Stefani,"1,293.3",400.0,0.247
680,Alexis y Fido,"1,291.7",300.0,0.505
681,Billy Joel,"1,287.1",300.0,0.437
682,Emrah Karaduman,"1,286.5",300.0,0.146
683,Duke Dumont,"1,286.3",200.0,0.285
684,L-Gante,"1,281.3",100.0,0.581
685,John Newman,"1,278.3",100.0,0.271
686,Dennis,"1,277.6",200.0,0.152
687,Phil Collins,"1,277.6",200.0,0.368
688,Jhené Aiko,"1,274.9",200.0,0.414
689,El Bebeto,"1,271.4",200.0,0.189
690,Lenny Kravitz,"1,271.4",300.0,0.382
691,IZA,"1,270.3",500.0,0.396
692,Era Istrefi,"1,269.5",100.0,0.542
693,Nego do Borel,"1,269.0",300.0,0.065
694,Young M.A,"1,267.7",200.0,0.168
695,León Larregui,"1,264.3",400.0,0.345
696,SZA,"1,264.0",400.0,4.931
697,Yelawolf,"1,262.1",200.0,0.412
698,Mike WiLL Made-It,"1,261.9",100.0,0.118
699,Thomas Rhett,"1,261.4",200.0,0.174
700,Tiago PZK,"1,261.2",300.0,0.974
701,Sting,"1,260.2",300.0,0.554
702,The Neighbourhood,"1,255.2",100.0,0.545
703,Jads & Jadson,"1,252.2",100.0,0.23
704,Kim Loaiza,"1,252.1",400.0,1.25
705,Sharry Mann,"1,251.1",300.0,0.311
706,João Gomes,"1,247.2",400.0,1.729
707,Thirty Seconds to Mars,"1,247.2",300.0,0.176
708,Ayo & Teo,"1,247.0",200.0,0.09
709,WINNER,"1,244.0",100.0,0.119
710,NerdOut,"1,243.1",100.0,0.207
711,OG-ANIC,"1,241.3",400.0,0.191
712,Keyshia Cole,"1,241.1",500.0,0.319
713,Reykon,"1,236.0",200.0,0.16
714,Train,"1,233.3",400.0,0.205
715,Bruno e Barretto,"1,229.5",200.0,0.256
716,Carlos Baute,"1,229.3",100.0,0.239
717,Shaan,"1,229.3",200.0,0.879
718,Andrés Cepeda,"1,227.4",300.0,0.273
719,Florence + The Machine,"1,226.4",200.0,0.184
720,Limp Bizkit,"1,222.2",500.0,0.38
721,Severina,"1,222.2",100.0,0.214
722,Leona Lewis,"1,221.1",400.0,0.273
723,Diljit Dosanjh,"1,219.1",300.0,0.379
724,Márcia Fellipe,"1,215.6",200.0,0.156
725,Omarion,"1,215.5",100.0,0.155
726,Bastille,"1,215.3",100.0,0.195
727,Brett Young,"1,215.3",200.0,0.382
728,Simple Plan,"1,213.8",400.0,0.237
729,Robin Thicke,"1,209.3",100.0,0.17
730,Austin Mahone,"1,207.8",200.0,0.091
731,Zé Ramalho,"1,204.7",300.0,0.349
732,Nipsey Hussle,"1,199.5",200.0,0.3
733,Jowell & Randy,"1,198.4",100.0,0.284
734,Liam Payne,"1,192.8",300.0,0.126
735,Amenazzy,"1,191.0",100.0,0.526
736,2Pac,"1,183.2",300.0,0.382
737,Mabel Matiz,"1,182.8",200.0,0.431
738,Bushido,"1,182.7",Não Informado,0.129
739,Nick Jonas,"1,182.0",200.0,0.134
740,Dynoro,"1,180.3",100.0,0.138
741,Victor & Leo,"1,178.9",200.0,0.373
742,Mora,"1,177.6",200.0,2.48
743,Shinedown,"1,175.5",100.0,0.346
744,Baby K,"1,175.4",300.0,0.158
745,George Ezra,"1,175.2",400.0,0.251
746,Dire Straits,"1,175.0",500.0,0.469
747,Zak Chumpae,"1,174.7",300.0,0.041
748,Dhurata Dora,"1,174.0",100.0,0.231
749,Vicentico,"1,167.9",300.0,0.415
750,Sohail Sen,"1,167.0",200.0,0.309
751,Basshunter,"1,166.8",200.0,0.134
752,Otilia,"1,164.4",100.0,0.121
753,Mr. Children,"1,164.3",Não Informado,0.553
754,Nightwish,"1,159.6",200.0,0.365
755,Jax Jones,"1,156.1",400.0,0.131
756,Benny Blanco,"1,153.8",200.0,0.259
757,Residente,"1,153.1",300.0,0.217
758,Ministério Zoe,"1,150.1",100.0,0.324
759,Sabrina Carpenter,"1,148.8",100.0,0.415
760,Disclosure,"1,145.3",300.0,0.167
761,Tomorrow X Together,"1,145.3",400.0,0.419
762,N Sync,"1,144.5",300.0,0.375
763,Felipe Peláez,"1,141.4",200.0,0.231
764,Miguel Bosé,"1,137.2",200.0,0.344
765,Sade,"1,134.8",300.0,0.459
766,Bonez MC,"1,128.1",300.0,0.28
767,Yellow Claw,"1,127.7",300.0,0.173
768,James Bay,"1,125.5",200.0,0.182
769,Alec Benjamin,"1,125.4",100.0,0.585
770,Lexa,"1,122.5",300.0,0.142
771,Banda Tierra Sagrada,"1,122.1",200.0,0.221
772,Club Dogo,"1,121.9",Não Informado,0.242
773,Lady Antebellum,"1,121.7",200.0,0.261
774,Kid Cudi,"1,120.8",300.0,0.232
775,The Vamps,"1,117.1",200.0,0.121
776,August Alsina,"1,116.5",200.0,0.181
777,Momoland,"1,113.2",200.0,0.174
778,Survivor,"1,111.9",200.0,0.389
779,Amit Kumar,"1,111.8",200.0,0.244
780,The Verve,"1,107.1",100.0,0.333
781,Léo Magalhães,"1,101.8",100.0,0.345
782,MIKA,"1,100.9",200.0,0.17
783,Charli XCX,"1,100.9",300.0,0.142
784,Yella Beezy,"1,097.7",200.0,0.215
785,DVBBS,"1,094.1",100.0,0.067
786,Sam Hunt,"1,091.5",300.0,0.122
787,Aitana,"1,085.0",400.0,0.632
788,Ludacris,"1,084.2",100.0,0.191
789,Edward Maya,"1,083.3",200.0,0.277
790,Simge,"1,082.3",400.0,0.271
791,Birdy,"1,079.3",400.0,0.202
792,Labrinth,"1,077.9",300.0,0.402
793,The 1975,"1,077.9",Não Informado,0.404
794,Mero,"1,077.6",200.0,0.321
795,Bhad Bhabie,"1,077.3",200.0,0.095
796,Alkilados,"1,077.3",400.0,0.18
797,The Rolling Stones,"1,076.6",Não Informado,0.281
798,R. City,"1,076.4",100.0,0.145
799,Ben Fero,"1,073.7",300.0,0.228
800,Bazzi,"1,073.7",400.0,0.192
801,Gloria Groove,"1,072.8",200.0,0.534
802,Weird Al Yankovic,"1,070.8",200.0,0.23
803,Lizzo,"1,069.3",400.0,0.361
804,Keane,"1,068.7",200.0,0.554
805,Dan + Shay,"1,068.3",300.0,0.191
806,Boy Panomprai,"1,068.0",300.0,0.176
807,Anavitória,"1,067.6",300.0,0.243
808,Dillon Francis,"1,066.4",200.0,0.121
809,Bích Phương,"1,062.8",200.0,0.449
810,Hoobastank,"1,059.8",100.0,0.309
811,Wale,"1,058.1",300.0,0.223
812,Gym Class Heroes,"1,056.7",200.0,0.399
813,Sido,"1,056.5",Não Informado,0.281
814,Alesso,"1,055.4",200.0,0.166
815,Mumford & Sons,"1,054.6",100.0,0.138
816,Sigala,"1,049.6",300.0,0.169
817,Lauren Daigle,"1,048.1",200.0,0.315
818,Kylie Minogue,"1,047.0",100.0,0.408
819,DJ Hamida,"1,046.4",100.0,0.155
820,Miguel,"1,046.4",400.0,0.42
821,Bigflo & Oli,"1,046.0",100.0,0.195
822,Spice Girls,"1,045.9",100.0,0.212
823,DMX,"1,045.4",300.0,0.306
824,Aleyna Tilki,"1,045.0",300.0,0.09
825,Mike Bahía,"1,042.0",400.0,0.465
826,Bobby Shmurda,"1,041.9",100.0,0.163
827,Aurora,"1,040.4",100.0,0.897
828,Cher Lloyd,"1,036.1",500.0,0.041
829,Blueface,"1,034.5",200.0,0.244
830,Dev Negi,"1,033.9",200.0,0.228
831,Pipe Bueno,"1,032.8",400.0,0.403
832,Siti Badriah,"1,031.4",100.0,0.091
833,Marama,"1,029.5",200.0,0.164
834,Param Singh,"1,029.0",100.0,0.25
835,Tiziano Ferro,"1,028.4",Não Informado,0.198
836,Jannine Weigel,"1,028.4",100.0,0.055
837,Oliver Tree,"1,028.0",100.0,2.196
838,Kaaris,"1,027.6",200.0,0.104
839,Eurythmics,"1,027.1",100.0,0.475
840,Rocco Hunt,"1,026.4",300.0,0.504
841,Rich The Kid,"1,023.8",200.0,0.107
842,Glass Animals,"1,023.7",200.0,0.791
843,Bryant Oden,"1,022.9",200.0,0.142
844,Enzo Rabelo,"1,022.5",300.0,0.149
845,John Mayer,"1,019.9",200.0,0.254
846,Lost Frequencies,"1,018.6",300.0,0.151
847,Potato,"1,017.1",100.0,0.142
848,The Strokes,"1,016.5",300.0,0.292
849,ScHoolboy Q,"1,016.4",200.0,0.118
850,Jasmine Sandlas,"1,014.4",200.0,0.198
851,Ghali,"1,014.4",200.0,0.133
852,Darell,"1,014.3",200.0,0.368
853,Min,"1,013.5",500.0,0.168
854,Leslie Grace,"1,008.6",300.0,0.127
855,Alonzo,"1,003.3",200.0,0.095
856,Léo Santana,"1,002.1",100.0,0.379
857,Phan Mạnh Quỳnh,998.9,200.0,0.096
858,Bomba Estéreo,997.6,300.0,0.178
859,The Offspring,995.1,100.0,0.498
860,Ultimo,994.7,Não Informado,0.331
861,Humberto e Ronaldo,993.4,100.0,0.347
862,Leandro Borges,993.0,100.0,0.435
863,João Neto e Frederico,991.7,200.0,0.063
864,Vegedream,991.3,100.0,0.507
865,Alex Campos,991.2,100.0,0.484
866,Sasa Kovacevic,985.3,Não Informado,0.119
867,Fedez,984.9,200.0,0.232
868,Trúc Nhân,981.4,300.0,0.949
869,IZ*ONE,979.6,200.0,0.239
870,Café Tacvba,977.5,100.0,0.23
871,DNCE,975.7,300.0,0.158
872,Jack Harlow,969.9,200.0,0.417
873,Gen Hoshino,968.0,100.0,0.166
874,Papa Roach,966.3,200.0,0.22
875,Miranda Lambert,962.7,100.0,0.215
876,Olly Murs,962.0,300.0,0.129
877,Juan Luis Guerra,960.0,100.0,0.437
878,Wonder Girls,958.4,200.0,0.172
879,K Camp,957.9,200.0,0.197
880,Dido,957.2,200.0,0.422
881,Led Zeppelin,954.2,300.0,0.437
882,Jay-Z,953.0,100.0,0.565
883,Alex Sensation,952.2,200.0,0.176
884,Henrique & Diego,946.9,200.0,0.062
885,Sonu Nigam,945.7,200.0,0.479
886,Soobin Hoàng Sơn,942.7,100.0,0.223
887,Of Monsters and Men,940.8,100.0,0.154
888,João Bosco e Vinícius,940.2,200.0,0.234
889,Yash Narvekar,938.1,200.0,0.272
890,Creed,934.9,300.0,0.277
891,Vengaboys,934.8,300.0,0.341
892,Pooh Shiesty,933.1,200.0,0.433
893,Tony Kakkar,929.5,200.0,0.136
894,25hours,929.3,100.0,0.149
895,Monsta X,927.8,100.0,5.269
896,Abu,925.7,100.0,0.232
897,Boyz II Men,925.5,400.0,0.276
898,Axel,922.9,200.0,0.11
899,GFriend,922.0,Não Informado,0.11
900,Ivete Sangalo,921.2,Não Informado,0.195
901,Years & Years,917.5,200.0,0.132
902,Rachel Platten,915.2,200.0,0.143
903,RKM & Ken-Y,913.8,200.0,0.166
904,The Wanted,912.4,200.0,0.079
905,Pikotaro,910.4,300.0,0.151
906,John Lennon,908.0,400.0,0.231
907,Bump of Chicken,907.3,100.0,0.254
908,Savage Garden,902.7,300.0,0.325
909,Brad Paisley,902.7,200.0,0.151
910,MC Doni,902.6,300.0,0.15
911,Apink,902.5,Não Informado,0.093
912,Julieta Venegas,902.4,200.0,0.389
913,Rich Gang,902.1,200.0,0.214
914,Tinie Tempah,900.1,200.0,0.106
915,RASA,900.1,200.0,0.627
916,Tame Impala,894.8,300.0,0.367
917,Why Don't We,892.3,100.0,0.188
918,Busta Rhymes,889.3,100.0,0.248
919,Capital Cities,889.2,200.0,0.257
920,Mahmut Orhan,888.9,300.0,0.194
921,Ana Carolina,885.6,200.0,0.251
922,KSI,885.5,100.0,0.066
923,AnnenMayKantereit,883.8,Não Informado,0.358
924,Kenny Chesney,883.5,Não Informado,0.147
925,Keen'V,883.3,100.0,0.223
926,Juicy J,882.6,100.0,0.114
927,Fat Joe,880.9,200.0,0.231
928,Steve Aoki,880.9,100.0,0.06
929,Seether,877.7,100.0,0.25
930,Fly Project,876.9,100.0,0.168
931,Michael Bolton,873.2,300.0,0.292
932,AOA,873.1,Não Informado,0.086
933,Leo Rojas,873.0,200.0,0.218
934,Big Ass,872.5,200.0,0.181
935,Jamiroquai,869.0,100.0,0.221
936,TLC,866.9,300.0,0.222
937,Jess Glynne,862.4,400.0,0.151
938,Kiesza,862.1,200.0,0.136
939,King,860.7,200.0,4.931
940,Jassi Gill,860.7,100.0,0.116
941,Hamza Namira,858.8,200.0,0.356
942,Delia,858.1,Não Informado,0.113
943,Tuğçe Kandemir,858.0,300.0,0.213
944,KC Rebell,854.8,Não Informado,0.073
945,Ja Rule,852.0,300.0,0.283
946,Culture Club,849.8,200.0,0.246
947,Jay Sean,849.5,200.0,0.226
948,Vasco Rossi,846.2,Não Informado,0.145
949,Marco Mengoni,845.9,200.0,0.176
950,Lilly Wood & The Prick,839.1,100.0,0.171
951,Daughtry,837.7,200.0,0.264
952,CKay,836.7,200.0,0.787
953,Mr Probz,835.2,100.0,0.177
954,gnash,834.7,100.0,0.2
955,deadmau5,834.2,Não Informado,0.09
956,Vance Joy,833.7,100.0,0.187
957,Altamash Faridi,831.9,100.0,0.201
958,Midian Lima,827.2,200.0,0.244
959,Tinashe,825.6,100.0,0.114
960,Thaeme & Thiago,824.6,Não Informado,0.054
961,Big Time Rush,824.4,100.0,0.083
962,NAV,823.8,Não Informado,0.14
963,The Prodigy,823.6,100.0,0.199
964,ChocQuibTown,821.9,100.0,0.097
965,Maite Perroni,821.2,300.0,0.145
966,Lil Xan,821.2,200.0,0.091
967,X Ambassadors,820.8,200.0,0.189
968,Sum 41,820.7,200.0,0.169
969,365 DaBand,819.0,100.0,0.098
970,Tony Dize,818.6,200.0,0.249
971,BNK48,817.6,200.0,0.093
972,PnB Rock,817.0,Não Informado,0.13
973,O.T. Genasis,816.7,200.0,0.076
974,KYLE,815.0,200.0,0.088
975,Far East Movement,814.9,200.0,0.098
976,J Soul Brothers,813.1,100.0,0.048
977,Hebe Tien,811.7,100.0,0.043
978,The Cure,811.6,100.0,0.264
979,EXID,809.5,100.0,0.077
980,Oras Sattar,807.9,100.0,0.122
981,Faydee,806.3,100.0,0.148
982,Burak Yeter,805.3,100.0,0.186
983,Sekai no Owari,802.9,100.0,0.153
984,Kodaline,800.7,200.0,0.237
985,T-ara,799.1,Não Informado,0.147
986,La Quinta Estación,797.9,100.0,0.24
987,Mario,797.1,200.0,0.277
988,Loredana Zefi,795.7,Não Informado,0.091
989,Sophia Grace,794.8,100.0,0.027
990,Il Volo,794.5,100.0,0.171
991,Polina Gagarina,794.0,100.0,0.243
992,T_T,792.7,200.0,0.047
993,Deorro,790.0,200.0,0.101
994,Redfoo,789.7,200.0,0.144
995,Eric Clapton,789.3,200.0,0.266
996,SanLuis,787.5,200.0,0.192
997,Atitude 67,786.3,100.0,0.146
998,Rusherking,786.1,200.0,1.141
999,SCH,785.3,100.0,0.108
1000,Måneskin,785.0,200.0,0.585
1001,The White Stripes,784.4,100.0,0.3
1002,Weezer,782.4,100.0,0.181
1003,Pia Mia,782.2,100.0,0.105
1004,Queen Naija,780.5,200.0,0.265
1005,Niall Horan,777.3,100.0,0.106
1006,Kalash,777.2,100.0,0.143
1007,Douzi,775.7,Não Informado,0.168
1008,Kool & The Gang,775.2,400.0,0.229
1009,Breaking Benjamin,774.7,100.0,0.196
1010,M83,774.0,200.0,0.217
1011,Stormzy,772.5,200.0,0.221
1012,JustaTee,770.9,300.0,0.314
1013,Nicky Romero,770.1,100.0,0.034
1014,Spitz,765.6,100.0,0.19
1015,AAA,764.6,200.0,0.067
1016,GTK,763.7,200.0,0.104
1017,Takagi & Ketra,763.5,300.0,0.084
1018,MC Hammer,763.1,100.0,0.182
1019,Pepe Quintana,759.0,300.0,0.146
1020,Cascada,758.7,100.0,0.097
1021,Kungs,758.3,100.0,0.231
1022,Osmani Garcia,758.1,100.0,0.082
1023,Pet Shop Boys,757.5,200.0,0.302
1024,Bullet For My Valentine,756.5,100.0,0.164
1025,Rich Homie Quan,755.2,200.0,0.13
1026,Central Cee,752.3,100.0,1.568
1027,Marcela Gándara,749.7,200.0,0.234
1028,Alessandra Amoroso,749.1,100.0,0.157
1029,Bob Sinclar,746.9,200.0,0.25
1030,Irama,746.0,200.0,0.334
1031,Keri Hilson,743.5,200.0,0.165
1032,Çağatay Akman,742.7,200.0,0.049
1033,Sofia Carson,742.0,300.0,0.241
1034,O Rappa,741.2,100.0,0.189
1035,Paulina Rubio,740.3,100.0,0.143
1036,Tiago Iorc,739.7,200.0,0.142
1037,La Factoría,738.1,100.0,0.218
1038,PARTYNEXTDOOR,737.6,200.0,0.281
1039,Ozan Doğulu,736.4,200.0,0.081
1040,Pawni Pandey,734.1,100.0,0.198
1041,Murat Boz,727.9,200.0,0.13
1042,John Denver,727.1,100.0,0.183
1043,Leonard Cohen,726.7,200.0,0.225
1044,Utada Hikaru,723.9,Não Informado,0.402
1045,Heart,723.2,200.0,0.325
1046,Thiago Brava,721.0,100.0,0.031
1047,Within Temptation,719.9,100.0,0.201
1048,A Great Big World,719.5,100.0,0.127
1049,KAZKA,716.6,100.0,0.147
1050,JayDaYoungan,716.3,100.0,0.29
1051,Silva Gunbardhi,714.3,100.0,0.131
1052,City Girls,712.3,100.0,0.187
1053,Oriente,706.5,200.0,0.137
1054,Andy & Lucas,703.8,200.0,0.23
1055,Bloodhound Gang,700.2,100.0,0.097
1056,Louis Tomlinson,699.4,100.0,0.07
1057,Ece Seçkin,698.8,300.0,0.063
1058,Prince,696.7,Não Informado,0.35
1059,Duran Duran,696.4,100.0,0.372
1060,Jovanotti,696.1,Não Informado,0.106
1061,La Fouine,695.9,Não Informado,0.123
1062,Jordin Sparks,695.0,100.0,0.208
1063,Extreme,693.3,100.0,0.217
1064,Gabriel Diniz,692.7,200.0,0.089
1065,Pearl Jam,691.8,200.0,0.179
1066,The Fray,691.1,200.0,0.1
1067,Snow Patrol,690.5,100.0,0.117
1068,Modà,690.3,Não Informado,0.141
1069,Haikaiss,689.8,100.0,0.072
1070,Nico & Vinz,688.8,100.0,0.162
1071,Paty Cantú,687.7,Não Informado,0.087
1072,Travie McCoy,686.4,100.0,0.118
1073,OrelSan,685.5,100.0,0.161
1074,Marina and the Diamonds,684.7,100.0,0.119
1075,Goo Goo Dolls,683.9,100.0,0.305
1076,MC Rodolfinho,681.3,200.0,0.057
1077,Rise Against,680.5,200.0,0.102
1078,LOONA,680.1,Não Informado,0.109
1079,Lily Allen,679.1,200.0,0.086
1080,Kyary Pamyu Pamyu,678.2,100.0,0.066
1081,UB40,677.4,100.0,0.194
1082,India Martínez,675.1,200.0,0.333
1083,Nicole Scherzinger,674.4,100.0,0.059
1084,Lilly Goodman,673.9,100.0,0.216
1085,Staind,673.6,200.0,0.199
1086,Blue,672.6,300.0,0.376
1087,Little Big Town,672.1,200.0,0.153
1088,t.A.T.u.,669.8,200.0,0.225
1089,The Chipettes,668.6,100.0,0.038
1090,Trio Parada Dura,667.3,200.0,0.298
1091,Julia Michaels,666.9,100.0,0.076
1092,Bảo Anh,665.7,100.0,0.079
1093,IAmChino,665.0,100.0,0.067
1094,Helene Fischer,664.4,Não Informado,0.196
1095,Rema,664.1,100.0,1.815
1096,DJ Antoine,662.3,100.0,0.061
1097,The Fugees,661.4,200.0,0.505
1098,M.I.A.,661.2,200.0,0.144
1099,Biel,658.7,100.0,0.021
1100,Monica,658.6,200.0,0.206
1101,Burak King,658.3,200.0,0.105
1102,Mustard,658.0,200.0,0.131
1103,Dawin,657.6,200.0,0.057
1104,Lali,657.3,100.0,0.147
1105,Perfume,656.3,Não Informado,0.078
1106,Isaias Saad,655.4,100.0,0.648
1107,Sak Noel,654.9,100.0,0.104
1108,Yemi Alade,654.5,100.0,0.134
1109,K.A.R.D,654.2,Não Informado,0.108
1110,Ace of Base,653.6,300.0,0.282
1111,Maxim Fadeev,653.2,200.0,0.161
1112,Daoko,652.6,100.0,0.144
1113,Adam Lambert,650.7,200.0,0.193
1114,Ace Hood,650.0,100.0,0.079
1115,KeBlack,648.6,200.0,0.065
1116,Cleber e Cauan,648.3,100.0,0.11
1117,Norm Ender,648.0,100.0,0.124
1118,Feduk,645.3,200.0,0.111
1119,Sophana,645.0,300.0,0.16
1120,Reyli Barba,644.3,100.0,0.14
1121,Anna Kendrick,642.8,100.0,0.037
1122,Cro,640.4,Não Informado,0.049
1123,Madcon,640.0,300.0,0.108
1124,Martin Solveig,639.8,200.0,0.041
1125,Saif Nabeel,636.5,200.0,0.159
1126,SDP,635.2,Não Informado,0.141
1127,Kevvo,632.8,100.0,0.17
1128,Felix Jaehn,632.1,100.0,0.165
1129,Block B,630.2,Não Informado,0.054
1130,Shiina Ringo,629.7,Não Informado,0.172
1131,BABYMETAL,628.6,100.0,0.137
1132,Armada,626.6,200.0,0.158
1133,Magic System,626.5,100.0,0.195
1134,Dierks Bentley,624.3,100.0,0.102
1135,The Black Keys,622.4,100.0,0.124
1136,Sarah Farias,621.5,200.0,0.238
1137,MGMT,621.3,300.0,0.172
1138,Fabio Rovazzi,621.2,300.0,0.035
1139,Smash Mouth,617.4,100.0,0.168
1140,Sakanaction,615.2,100.0,0.119
1141,Mark Forster,614.5,100.0,0.075
1142,Summer Cem,614.4,100.0,0.069
1143,Iyaz,613.3,200.0,0.199
1144,Livres,612.2,100.0,0.181
1145,Bella Poarch,611.9,200.0,0.4
1146,Fabri Fibra,611.5,Não Informado,0.138
1147,Dean Lewis,611.0,200.0,0.446
1148,Alanis Morissette,610.7,100.0,0.175
1149,AWOLNATION,610.2,100.0,0.113
1150,Tayrone,608.7,100.0,0.603
1151,Amit Mishra,608.6,200.0,0.061
1152,Bizzey,607.4,100.0,0.091
1153,Masked Wolf,604.9,200.0,0.207
1154,RIDSA,604.9,100.0,0.141
1155,Vũ Duy Khánh,603.6,100.0,0.035
1156,Lola Indigo,601.7,100.0,0.53
1157,Stefflon Don,601.4,200.0,0.101
1158,2PM,599.8,Não Informado,0.07
1159,Beast,599.5,100.0,0.066
1160,R.I.O.,599.3,100.0,0.029
1161,Pentagon,599.2,100.0,0.072
